member,party,chamber,state,district,bioguide_id,entity_group,giver,recipient_committee,recipient_committee_id,amount_usd,date,cycle,kind,fec_sub_id,source_url,record_id
Jimmy Panetta,D,House,CA,19,P000613,ARI PAC,ARI PAC,JIMMY PANETTA FOR CONGRESS,C00592154,1000.00,2026-06-09,2026,PAC contribution,4072720261538830166,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8676
John Cornyn,R,Senate,TX,,C001056,Anthropic employees,Anthropic employee,TEXANS FOR SENATOR JOHN CORNYN INC.,C00369033,3500.00,2026-02-12,2026,individual contribution,4051220261510107982,https://docquery.fec.gov/cgi-bin/fecimg/?202604159857288085,HM1001
John Cornyn,R,Senate,TX,,C001056,Anthropic employees,Anthropic employee,TEXANS FOR SENATOR JOHN CORNYN INC.,C00369033,-3500.00,2026-02-12,2026,individual contribution,4051220261510107983,https://docquery.fec.gov/cgi-bin/fecimg/?202604159857288085,HM1002
John Cornyn,R,Senate,TX,,C001056,Anthropic employees,Anthropic employee,TEXANS FOR SENATOR JOHN CORNYN INC.,C00369033,3500.00,2026-02-12,2026,individual contribution,4051220261510108287,https://docquery.fec.gov/cgi-bin/fecimg/?202604159857288186,HM1003
John Joyce,R,House,PA,13,J000302,ARI PAC,ARI PAC,DR JOHN JOYCE FOR CONGRESS,C00674259,1000.00,2026-06-09,2026,PAC contribution,4072720261538830159,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8671
John R. Carter,R,House,TX,31,C001051,ARI PAC,ARI PAC,JOHN CARTER FOR CONGRESS,C00371203,2500.00,2025-06-23,2026,PAC contribution,4073120251213020582,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8509
John R. Curtis,R,Senate,UT,,C001114,ARI PAC,ARI PAC,JOHN CURTIS FOR UTAH,C00647339,3500.00,2025-06-26,2026,PAC contribution,4073120251213020583,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8519
John R. Curtis,R,Senate,UT,,C001114,ARI PAC,ARI PAC,JOHN CURTIS FOR UTAH,C00647339,1500.00,2025-06-26,2026,PAC contribution,4073120251213020584,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8520
John R. Curtis,R,Senate,UT,,C001114,ARI PAC,ARI PAC,JOHN CURTIS FOR UTAH,,5000.00,2025-06-26,2026,PAC contribution,,https://lda.gov/api/v1/contributions/b9a8036e-d98c-4549-b059-bcfe107495a0/,HM9787
John R. Curtis,R,Senate,UT,,C001114,ARI PAC,ARI PAC,JOHN CURTIS FOR UTAH,C00647339,1500.00,2025-11-12,2026,PAC contribution,4022520261359193457,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8578
John R. Curtis,R,Senate,UT,,C001114,ARI PAC,ARI PAC,JOHN CURTIS FOR UTAH,C00647339,1000.00,2026-02-24,2026,PAC contribution,4050120261498882154,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8598
John R. Curtis,R,Senate,UT,,C001114,ARI PAC,ARI PAC,JOHN CURTIS FOR UTAH,C00647339,1000.00,2026-04-29,2026,PAC contribution,4061720261521567433,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8641
John R. Curtis,R,Senate,UT,,C001114,ARI PAC,ARI PAC,JOHN CURTIS FOR UTAH,C00647339,500.00,2026-04-29,2026,PAC contribution,4061720261521567434,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8642
John R. Moolenaar,R,House,MI,2,M001194,Anthropic employees,Anthropic employee,MOOLENAAR FOR CONGRESS,C00561530,4000.00,2025-09-29,2026,individual contribution,4010820261300483823,https://docquery.fec.gov/cgi-bin/fecimg/?202510159791107767,HM775
